origin_group,year,from,to,count,stock,prob
Islamic,2004,H_D,H_D,1,1,0.3333333333333333
Islamic,2005,H_D,H_D,1,1,0.3333333333333333
Islamic,2006,D,D,1,1,0.3333333333333333
Islamic,2006,H_D,H_D,1,1,0.3333333333333333
Islamic,2007,D,D,1,1,0.3333333333333333
Islamic,2007,H_D,H_D,1,1,0.3333333333333333
Islamic,2008,A,A,1,1,0.3333333333333333
Islamic,2008,D,D,1,1,0.3333333333333333
Islamic,2008,H_D,H_D,2,2,0.45454545454545453
Islamic,2009,A,A,1,1,0.3333333333333333
Islamic,2009,D,D,3,3,0.5384615384615384
Islamic,2009,H_D,H_D,3,3,0.5384615384615384
Islamic,2010,A,A,1,1,0.3333333333333333
Islamic,2010,D,D,3,3,0.5384615384615384
Islamic,2010,H_D,H_D,3,3,0.5384615384615384
Islamic,2011,A,A,1,1,0.3333333333333333
Islamic,2011,D,D,3,4,0.4666666666666667
Islamic,2011,D,H_D,1,4,0.2
Islamic,2011,H_D,H_D,3,3,0.5384615384615384
Islamic,2012,A,A,1,1,0.3333333333333333
Islamic,2012,D,D,4,4,0.6
Islamic,2012,H_D,H_D,5,5,0.6470588235294118
Islamic,2013,A,A,1,1,0.3333333333333333
Islamic,2013,D,D,5,6,0.5789473684210527
Islamic,2013,D,H_D,1,6,0.15789473684210525
Islamic,2013,H_D,H_D,6,6,0.6842105263157895
Islamic,2014,A,A,1,1,0.3333333333333333
Islamic,2014,D,D,5,5,0.6470588235294118
Islamic,2014,H_D,H_D,7,7,0.7142857142857143
Islamic,2015,A,A,1,1,0.3333333333333333
Islamic,2015,D,D,7,9,0.6
Islamic,2015,D,H_D,2,9,0.2
Islamic,2015,H_A,H_A,1,1,0.3333333333333333
Islamic,2015,H_D,H_D,8,8,0.7391304347826086
Islamic,2016,A,A,1,1,0.3333333333333333
Islamic,2016,D,D,7,8,0.6521739130434783
Islamic,2016,D,H_D,1,8,0.13043478260869565
Islamic,2016,H_A,H_A,1,1,0.3333333333333333
Islamic,2016,H_D,H_D,10,10,0.7777777777777778
Islamic,2017,A,A,1,1,0.3333333333333333
Islamic,2017,D,D,7,7,0.7142857142857143
Islamic,2017,H_A,H_A,1,1,0.3333333333333333
Islamic,2017,H_D,H_D,10,11,0.7241379310344828
Islamic,2017,H_D,P_D,1,11,0.10344827586206896
Islamic,2018,A,A,1,1,0.3333333333333333
Islamic,2018,D,D,7,7,0.7142857142857143
Islamic,2018,H_A,H_A,1,1,0.3333333333333333
Islamic,2018,H_D,H_A,1,10,0.1111111111111111
Islamic,2018,H_D,H_D,9,10,0.7037037037037037
Islamic,2018,P_D,P_D,1,1,0.3333333333333333
Islamic,2019,A,P_A,1,1,0.3333333333333333
Islamic,2019,D,D,5,7,0.5238095238095238
Islamic,2019,D,H_D,1,7,0.14285714285714285
Islamic,2019,D,P_A,1,7,0.14285714285714285
Islamic,2019,H_A,H_A,2,2,0.45454545454545453
Islamic,2019,H_D,H_D,9,9,0.76
Islamic,2019,P_D,P_D,1,1,0.3333333333333333
Islamic,2020,D,D,5,5,0.6470588235294118
Islamic,2020,H_A,P_A,2,2,0.45454545454545453
Islamic,2020,H_D,H_D,9,10,0.7037037037037037
Islamic,2020,H_D,P_A,1,10,0.1111111111111111
Islamic,2020,P_A,P_A,2,2,0.45454545454545453
Islamic,2020,P_D,P_D,1,1,0.3333333333333333
Islamic,2021,D,D,4,5,0.5294117647058824
Islamic,2021,D,P_D,1,5,0.17647058823529413
Islamic,2021,H_D,H_D,8,9,0.68
Islamic,2021,H_D,P_D,1,9,0.12
Islamic,2021,P_A,P_A,4,5,0.5294117647058824
Islamic,2021,P_A,P_D,1,5,0.17647058823529413
Islamic,2021,P_D,P_D,1,1,0.3333333333333333
Islamic,2022,D,D,4,4,0.6
Islamic,2022,H_D,H_D,7,8,0.6521739130434783
Islamic,2022,H_D,P_D,1,8,0.13043478260869565
Islamic,2022,P_A,P_A,2,4,0.3333333333333333
Islamic,2022,P_A,P_D,2,4,0.3333333333333333
Islamic,2022,P_D,P_D,4,4,0.6
Japanese,2000,D,D,1,1,0.3333333333333333
Japanese,2001,D,D,2,3,0.38461538461538464
Japanese,2001,D,H_D,1,3,0.23076923076923078
Japanese,2001,H_D,H_D,3,3,0.5384615384615384
Japanese,2002,D,D,5,5,0.6470588235294118
Japanese,2002,H_D,H_D,5,5,0.6470588235294118
Japanese,2003,D,D,9,9,0.76
Japanese,2003,H_D,H_D,5,5,0.6470588235294118
Japanese,2004,D,D,9,9,0.76
Japanese,2004,H_D,H_D,5,5,0.6470588235294118
Japanese,2005,D,D,9,10,0.7037037037037037
Japanese,2005,H_D,H_D,7,7,0.7142857142857143
Japanese,2006,D,D,9,9,0.76
Japanese,2006,H_D,H_D,7,7,0.7142857142857143
Japanese,2007,D,D,8,9,0.68
Japanese,2007,D,H_D,1,9,0.12
Japanese,2007,H_D,H_D,7,7,0.7142857142857143
Japanese,2007,P_D,P_D,1,1,0.3333333333333333
Japanese,2008,D,D,7,8,0.6521739130434783
Japanese,2008,D,H_D,1,8,0.13043478260869565
Japanese,2008,H_D,H_D,7,8,0.6521739130434783
Japanese,2008,H_D,P_D,1,8,0.13043478260869565
Japanese,2008,P_D,P_D,1,1,0.3333333333333333
Japanese,2009,A,D,1,1,0.3333333333333333
Japanese,2009,D,D,6,7,0.6190476190476191
Japanese,2009,D,H_D,1,7,0.14285714285714285
Japanese,2009,H_D,H_D,7,8,0.6521739130434783
Japanese,2009,H_D,P_D,1,8,0.13043478260869565
Japanese,2009,P_D,P_D,2,2,0.45454545454545453
Japanese,2010,D,D,7,8,0.6521739130434783
Japanese,2010,D,H_D,1,8,0.13043478260869565
Japanese,2010,H_D,H_A,1,8,0.13043478260869565
Japanese,2010,H_D,H_D,6,8,0.5652173913043478
